SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,4,512,0,0,0,0,47,18631,752911,1873161,25445.495,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,4,512, maxsum,4,512, maxsum,4,512, maxsum,4,512, maxsum,4,512, maxsum,4,512, maxsum,4,512, maxsum,4,512, maxsum,4,512,57,14774,944935,2356823,57,14674,944834,2356722,56555.662
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,4,512,46,1805,1031604,2338240,46,1705,1031504,2338140,49644.532,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,4,512, maxsum,4,512,53,42074,866243,2459461,53,41974,866142,2459361,70262.638,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,4,512,60,400,1012732,2425629,60,300,1012632,2425529,81998.101,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,4,512, maxsum,4,512, maxsum,4,512,0,0,0,0,52,22511,790838,2303130,25215.208,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,4,512,54,893,906954,2104597,54,793,906854,2104497,53637.524,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,4,512, maxsum,4,512,54,41729,767895,2508190,54,41629,767795,2508090,85002.059,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,4,512, maxsum,4,512,64,614,919060,2406584,64,514,918960,2406484,57023.632,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,4,512,51,71856,918926,2355150,51,71756,918826,2355049,55617.233,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
